Magic	Moon Boots	http://soundcloud.com/annie-mac-presents/fmm-moon-boots-magic
Eye to Eye	Astronauts, etc.	http://soundcloud.com/astronautsetc/eye-to-eye
Bitter Blue	Boy Scout	http://soundcloud.com/boy-scout/bitter-blue-1
Die Inside Your Dance	The Golden Pony feat. Savoir Adore	http://soundcloud.com/thegoldenpony/die-inside-your-dance-feat-savoir-adore-radio-edit
No Less	SG Lewis feat. Louis Mattrs	http://soundcloud.com/sglewis/no-less
Abrasive	Ratatat	http://soundcloud.com/ratatat/abrasive
Always	Favored Nations	http://soundcloud.com/favored-nations-music/always
Just	Couzare	http://soundcloud.com/couzareofficial/couzare-feat-cozy-just-original-mix
Tell Me Something Good	Jackson Breit	http://soundcloud.com/jackson-breit/tell-me-something-good-prod-carneyval-feat-sophia
Can't Feel My Face	The Weeknd (Rainer + Grimm remix)	http://soundcloud.com/caspervanmook/the-weeknd-cant-feel-my-face-rainer-grimm-remix
Stay	Oscar	http://soundcloud.com/oscar_music/stay
What You Won't Do For Love	Jon E.K.	http://soundcloud.com/iamjonek/what-you-wont-do-for-love-1
Fingertips	Leo Kalyan	http://soundcloud.com/leokalyan/fingertips
Be Well	Tamper	http://soundcloud.com/tampermusic/be-well1
It's Not Over (The Twelves Remix)	ON AN ON	http://soundcloud.com/rollcallrecords/on-an-on-its-not-over-the-twelves-remix
Dissolve	Hibou	http://soundcloud.com/hibouband/dissolve
Before The Weekend Comes	Nvdes	http://soundcloud.com/nvdes/before-the-weekend-comes
Hold On	Roosevelt	http://soundcloud.com/greco-roman/roosevelt-hold-on-0
New Moon	Tom Aspaul	http://soundcloud.com/tom_aspaul/new-moon
All of You	Roy Wood$ (Michah remix)	http://soundcloud.com/michahofficial/roy-wood-all-of-you-michah-remix
Fill Your Brains	Harrison Brome	http://soundcloud.com/harrisonbrome/fill-your-brains
Holding On	Disclosure (Gus Pirelli remix)	http://soundcloud.com/gus-pirelli/disclosure-holding-on-ft-gregory-porter-gus-pirelli-vip-7-disco-mix
Pacing	Tep No	http://soundcloud.com/tepno/pacing
Home	Tom Misch	http://soundcloud.com/tommisch/home
Talk	Bob Moses	http://soundcloud.com/the-bob-moses/talk
Jungle	Panama	http://soundcloud.com/futureclassic/panama-jungle
Caught Up On You	Shy Luv	http://soundcloud.com/shy-luv/caught-up-on-you
Lessons	Holy Models (Falcon Punch remix)	http://soundcloud.com/falcon-punch/lessons-remix
For You (Bearcubs Remix)	Gavin James	http://soundcloud.com/gavinjamesofficial/gavin-james-for-you-bearcubs-remix
Haunted By You	Future Islands (The Knocks remix)	http://soundcloud.com/theknocks/future-islands-haunted-by-you-the-knocks-bootleg
Real June	Seoul	http://soundcloud.com/seoulmtl/real-june
If We Want To	M.I.L.K.	http://soundcloud.com/m-i-l-k-4eva/if-we-want-to
Drive	Ang Low x Embody	http://soundcloud.com/iamembody/ang-low-x-embody-drive
My Car	Tear Council	http://soundcloud.com/tear-council/my-car
Lose It	Oh Wonder (Jerry Folk remix)	http://soundcloud.com/jerryfolkmusic/oh-wonder-lose-it-jerry-folk-remix
Some Minds	Flume feat. Andrew Wyatt	http://soundcloud.com/flume/flume-some-minds-feat-andrew-wyatt
Re.Up	Rationale	http://soundcloud.com/iamrationale/reup
Want 2	Kilter feat. Porsches	http://soundcloud.com/kilterbeats/want-2
Drive	Dornik	http://soundcloud.com/dornik/drive-1
Cool on Fire	Daniel Johns	http://soundcloud.com/danieljohnshq/cool-on-fire-album-version
Ride It Out	Redspencer	http://soundcloud.com/redspencer/ride-it-out
In My Place	Lincoln Jesser	http://soundcloud.com/lincolnjesser/in-my-place
Low Pressure	Wild & Free	http://soundcloud.com/rislabs/wild-free-low-pressure
California Rain	Goldroom	http://soundcloud.com/goldroom/goldroom-california-rain-feat-nikki-segal
Better	Samm Henshaw	http://soundcloud.com/sammhenshaw/better
You've Got A Woman (Psychedelic Mix)	Lion	http://soundcloud.com/hansvanhemert/lion-youve-got-a-woman-psychedelic-mix
Stranger	Active Child	http://soundcloud.com/active-child/stranger
Found Your Love	Oliver Nelson feat. Heir	http://soundcloud.com/olivernelson/oliver-nelson-ft-heir-found-your-love
The Right Time	Tuxedo (Jean Tonique remix)	http://soundcloud.com/jeantonique/tuxedo-the-right-time-jean-tonique-remix-1
The Way You'd Love Her	Mac Demarco	http://soundcloud.com/capturedtracks/mac-demarco-the-way-youd
Miss You (Rolling Stones Cover)	Aslove	http://soundcloud.com/vibewithit/aslove-ft-charles-henry-miss-you-rolling-stones-cover
Keep Him	The Legends	http://soundcloud.com/cascine/the-legneds-keep-him
I Want It	Olivver The Kid	http://soundcloud.com/tasteandtone/olivver-the-kid-i-want-it
Who I Am	Saje feat. Sabina	http://soundcloud.com/sajeofficial/who-i-am-ft-sabina
Future Visions	Favela	http://soundcloud.com/favelamusic/futurevisions
Petals Fall	J Warner	http://soundcloud.com/jwarnerofficial/petals-fall
Dancers	Axel Flóvent	http://soundcloud.com/axelflovent/dancers-1
The Otherside	Ghost Loft	http://soundcloud.com/ghostloft/the-otherside
Roses	OutKast (PLS&TY remix)	http://soundcloud.com/pls-ty-vip/outkast-roses-plsty-remix
Swimming Pool	Yuma X	http://soundcloud.com/weareyuma_x/swimming-pool
No Mind No Money	Beach Baby	http://soundcloud.com/beachbabymusic/no-mind-no-money
Say Say Say	Paul McCartney & Michael Jackson (The Apple Scruffs remix)	http://soundcloud.com/the-apple-scruffs/paul-mccartney-michael-jackson
Breezy	Scooter Island feat. Zoe Penina	http://soundcloud.com/scooterislandmusic/breezy
Clanky Love	Royce Wood Junior	http://soundcloud.com/roycewoodjunior/clanky-love
Top To Toe	HONNE	http://soundcloud.com/hellohonne/top-to-toe
Show Me The Way	Penguin Prison	http://soundcloud.com/penguin-prison/show-me-the-way
Put Me Down	Aquilo	http://soundcloud.com/aquilo/put-me-down
My Type	SAINT MOTEL, SAINT WKND	http://soundcloud.com/wknd/saint-wknd-my-type
Fast Lane	Rationale	http://soundcloud.com/iamrationale/fastlane
Redemption	Samm Henshaw	http://soundcloud.com/sammhenshaw/redemption
Night Moves	Roosevelt	http://soundcloud.com/greco-roman/roosevelt-night-moves
Lock	Atlas Bound	http://soundcloud.com/cosmonostro/atlas-bound-lock
Mess	Madi Diaz (Jensen Sportag remix)	http://soundcloud.com/madidiaz/madi-diaz-mess-jensen-sportag-remix
Hostage	Småland	http://soundcloud.com/smallerplace/hostage
The Beach	PWNDTIAC (Les Loups remix)	http://soundcloud.com/les-loups/the-beach-remix
Around the Fire	Ofenbach	http://soundcloud.com/weareofenbach/around-the-fire
Cloaked	Woolf And The Wondershow (That's Nice remix)	http://soundcloud.com/thatsniceofficial/woolf-and-the-wondershow-cloaked-thats-nice-remix
Get You Up	Manganas Garden	http://soundcloud.com/yunizon-records/manganas-garden-get-you-up
Back Back Back	Anthony D'Amato (FDVM remix)	http://soundcloud.com/fdvm/anthony-damato-back-back-back-fdvm-bootleg
Love Again	Ta-ku feat. Sango, JMSN	http://soundcloud.com/takugotbeats/love-again-feat-jmsn-sango
All Cried Out	Blonde feat. Alex Newell (Oliver Nelson remix)	http://soundcloud.com/blondesound/blonde-all-cried-out-feat-alex-newell-oliver-nelson-remix-1
Belle (Mind Cntrl Cover)	Jack Johnson	http://soundcloud.com/mindcntrl/jack-johnson-belle-mind-cntrl-cover-2
Begging	Lions Head	http://soundcloud.com/lions-head/begging
Letting In (Prod. by NoMBe)	Beauville	http://soundcloud.com/beauvillemusic/letting-in-prod-by-nombe
Mako	Yates (Tommy Pax remix)	http://soundcloud.com/tommypax/mako-tommypax
Wicked Games	James Vincent McMorrow (Boehm remix)	http://soundcloud.com/boehmofficial/james-vincent-mcmorrow-wicked-games-boehm-remix
Got It Bad	LEISURE	http://soundcloud.com/theleisurecollective/got-it-bad
All Falls Down	Kanye West (instrum remix)	http://soundcloud.com/instrum/allfallsdown
Didn't I (Darondo Cover)	HONNE	http://soundcloud.com/hellohonne/didnt-i
Everyday	Jose Burgos feat. Kenny Bobien	http://soundcloud.com/defectedrecords/jose-burgos-featuring-kenny-bobien-everyday-vocal-edit
Never Far Away	Active Child	http://soundcloud.com/active-child/never-far-away
Better Off Without You	Aquilo	http://soundcloud.com/aquilo/better-off-without-you
California Girl	Pretty Sister	http://soundcloud.com/prettysistermusic/california-girl
Mykonos (Fleet Foxes Cover)	Goldroom	http://soundcloud.com/goldroom/goldroom-mykonos-fleet-foxes-cover
Summer Night	Demons Of Ruby Mae	http://soundcloud.com/demonsofrubymae/summer-night
Seasons	Chris Lago	http://soundcloud.com/bearded-man-recordings/chris-lago-seasons
Higher	Cajsa Siik (Lakechild remix)	http://soundcloud.com/lakechildmusic/cajsasiikhigherlakechildremix
Truth	Charlie Winston (Embody remix)	http://soundcloud.com/mixmag-1/download-charlie-winston-truth-embody-remix
Kiloran	Palace	http://soundcloud.com/palaceband/kiloran
Friday Nights	Viceroy, French Horn Rebellion	http://soundcloud.com/viceroymusic/viceroy-french-horn-rebellion
Irish Margaritas	Harriet (RAC remix)	http://soundcloud.com/rac/harriet-irish-margarita-rac-mix
Quite Like	Her	http://soundcloud.com/thebandher/quite-like-2
Rumored To Be Real	Bee’s Knees feat. Marty Rod	http://soundcloud.com/beeskneesmusic/rumored-to-be-real-feat-marty-rod
Climb Into The Music	Gypsy & The Cat feat. Paul Kelly	http://soundcloud.com/gypsyandthecat/climb-into-the-music-feat-paul-kelly
She Got That Fire	Nick Monaco (Jeremy Sole remix)	http://soundcloud.com/soulclaprecs/nick-monaco-she-got-that-fire-jeremy-sole-remix
Memory	Changed Habits	http://soundcloud.com/uniquemusic-3/changed-habits-memory
Yeah Yeah Yeah	Jax Jones	http://soundcloud.com/jaxjones/yeah-yeah-yeah
Skeletons	Trails and Ways	http://soundcloud.com/trailsandways/skeletons
Let You Go	The Chainsmokers feat. Great Good Fine Ok (Björn Steinhagen remix)	http://soundcloud.com/auxlondon/the-chainsmokers-feat-great-good-fine-ok-let-you-go-bjorn-steinhagen-remix
Helios	Darius feat. Wayne Snow	http://soundcloud.com/rochemusique/darius-helios-feat-wayne-snow-1
Sudden Flight	Protoje feat. Sevana, Jesse Royal	http://soundcloud.com/protoje/protoje-sudden-flight-ft-jesse-royal-sevana
Paris	Antoine Malye (Lost Frequencies remix)	http://soundcloud.com/lo-freq-1/antoine-malye-paris-lost-frequencies-remix
Holding On	TOURIST feat. Josef Salvat, Niia	http://soundcloud.com/touristmusic/tourist-holding-on-feat-josef-salvat-niia
Diamonds	Sailors	http://soundcloud.com/sailorsofficial/sailors-diamonds-1
Illusion	Beat Connection	http://soundcloud.com/beatconnexion/illusion
Salt	Bad Suns	http://soundcloud.com/badsuns/salt
Collect My Love	The Knocks feat. Alex Newell	http://soundcloud.com/theknocks/the-knocks-collect-my-love-ft-alex-newell
Fast Car	Sam Smith (Hitimpulse remix)	http://soundcloud.com/tamerjoseph/sam-smith-fast-car-hitimpulse-remix
Let It Happen	Tame Impala	http://soundcloud.com/brooklynvegan/tame-impala-let-it-happen
Zenith	Ben Khan	http://soundcloud.com/benkhan/zenith
Fade out Lines (Rework)	The Avener, Phoebe Killdeer	http://soundcloud.com/the-avener/fade-out-lines-original-mix
Loud Places	Jamie XX (eekkoo remix)	http://soundcloud.com/eekkoo/loudplaces
I Know	Astronauts, etc.	http://soundcloud.com/nile-express/astronautsetc-i-know
Guest	Jean Tonique feat. Iris	http://soundcloud.com/jeantonique/guest-feat-iris
Best Light	Elliot Moss	http://soundcloud.com/elliotmoss/best-light
Maneater	Hall and Oates (The Apple Scruffs remix)	http://soundcloud.com/the-apple-scruffs/hall-and-oates-maneater-the
Rose Gold	Young War (Pablo Nouvelle remix)	http://soundcloud.com/youngwar/rose-gold-pablo-nouvelle-remix
Feel Of Love	Tensnake (Eau Claire remix)	http://soundcloud.com/frenchtoast/tensnake-feel-of-love-eau-claire-remix
Love Your Smile	Cozy (Tommy Jacob remix)	http://soundcloud.com/tommy-jacob/cozy-love-your-smile-tommy-jacob-remix
Road To Zion (Damian Marley Cover)	XKAEM, EFIX	http://soundcloud.com/efixmusic/damian-marley-road-to-zion-efix-xkaem-cover
Positive Vibe	SAINT WKND	http://soundcloud.com/wknd/saint-wknd-positive-vibe
Lake Shrine	Kisses	http://soundcloud.com/kisses/lake-shrine
White Dress	Set Mo feat. Deutsch Duke	http://soundcloud.com/setmomusic/set-mo-white-dress-ft-deutsch-duke
Diamonds in the Dirt	Jed Nayef	http://soundcloud.com/jednayef/diamonds
Saturday Love	Pallace, Zimmer	http://soundcloud.com/zimmermusic/saturdaylove
Mistakes Like This	Prelow (Skizzy Mars remix)	http://soundcloud.com/prelow/mistakesremix
Better By Your Side	aeble feat. Tom Aspaul	http://soundcloud.com/thisisaeble/better_by_your_side
Animals	Du Tonc	http://soundcloud.com/dutoncmusic/du-tonc-animals
Just The Two Of Us (Kevin Cohen Cover)	Bill Withers (Doumëa remix)	http://soundcloud.com/doumea/tomleorecords
Leave Me	Peter Lyons	http://soundcloud.com/peterlyonsmusic/leave-me-1
Dream	Autograf	http://soundcloud.com/autografmusic/dream
Lovers	COMPNY	http://soundcloud.com/compnymusic/lovers
1000	Ben Khan	http://soundcloud.com/benkhan/1000bk
Battleground	Deutsch  Duke	http://soundcloud.com/deutschduke/battleground-1
1999	Active Child	http://soundcloud.com/active-child/mercy-1999
All I Need	Astronomyy feat. Denai Moore	http://soundcloud.com/astronomyy/all-i-need-ft-denai-moore
Believe in Me	Jamie Lidell	http://soundcloud.com/jamie-lidell/believe-in-me-2
Forever (Pt. II)	SNAKEHIPS feat. Kaleem Taylor	http://soundcloud.com/snakehips-1/forever-pt-ii-feat-kaleem-taylor
You Make Me Wanna	Rainer + Grimm, Usher	http://soundcloud.com/rainerandgrimm/usher-you-make-me-wanna-rainer-grimm-remake/s-EryVy
California Girls	NoMBe	http://soundcloud.com/nombe/california-girls
Coastal Love	HONNE	http://soundcloud.com/hellohonne/coastal-love
Catch & Release	Matt Simons (Deepend remix)	http://soundcloud.com/deependmusic/matt-simons-catch-release-deepend-remix-out-now
Polythene Love	FYFE	http://soundcloud.com/thisisfyfe/polythene-love-1
Another Man (Original Mix)	Bakermat	http://soundcloud.com/bakermatmusic/bakermat-another-man-original-mix
Too Much To Handle	Great Good Fine Ok (Shook remix)	http://soundcloud.com/greatgoodfineok/too-much-to-handle-shook-remix
Thinking Out Loud	Ed Sheeran (Mura Masa remix)	http://soundcloud.com/edsheeran/thinking-out-loud-mura-masa-remix
Talkin' Bout A Revolution	Tracy Chapman (Bobby Brush, Deep Chills remix)	http://soundcloud.com/bobbybrush/talkinboutarevolution
Olivia	Satin Jackets	http://soundcloud.com/eskimorecordings/satin-jackets-olivia
Cave	Welfair	http://soundcloud.com/welfair/cave
In The Dark	Matt Woods	http://soundcloud.com/mattwoodsofficial/inthedark
Bad, Bad, Bad	LANY (Matt DiMona remix)	http://soundcloud.com/mattdimona/lany-bad-bad-bad-matt-dimona-remix
Lisa Sawyer	Leon Bridges	http://soundcloud.com/leonbridges/lisa-sawyer
Dancing With Myself	The Knocks	http://soundcloud.com/theknocks/the-knocks-dancing-with-myself
Dreams	Fleetwood Mac (Late Nite Tuff Guy remix)	http://soundcloud.com/late-nite-tuff-guy/dreams-lntg-version
Surf's Up	Beach Boys (Fog Puma, M.RUX remix)	http://soundcloud.com/mrux/surfs-up-edit
Feels So Good	Sailors	http://soundcloud.com/chill/sailors-feels-so-good
Above The Clouds	Ofenbach feat. Bear's Den	http://soundcloud.com/weareofenbach/ofenbach-above-the-clouds-1
Good Touch	Catz 'N Dogz feat. Eglė Sirvydytė	http://soundcloud.com/pets_recordings/catz-n-dogz-good-touch-feat
Crazy	Thief	http://soundcloud.com/thiefofficial/thief-crazy
Full Circle	George FitzGerald feat. Boxed In	http://soundcloud.com/george-fitzgerald/full-circle-feat-boxed-in
